Sensor #,Symbol,Description,,
1,T2,Total temperature at fan inlet,,
2,T24,Total temperature at LPC outlet,,
3,T30,Total temperature at HPC outlet,,
4,T50,Total temperature at LPT outlet,,
5,P2,Pressure at fan inlet,,
6,P15,Total pressure in bypass-duct,,
7,P30,Total pressure at HPC outlet,,
8,Nf,Physical fan speed,,
9,Nc,Physical core speed,,
10,epr,Engine pressure ratio (P50/P2),,
11,Ps30,Static pressure at HPC outlet,,
12,phi,Ratio of fuel flow to Ps30,,
13,NRf,Corrected fan speed,,
14,NRc,Corrected core speed,,
15,BPR,Bypass ratio,,
16,farB,Burner fuel–air ratio,,
17,htBleed,Bleed enthalpy,,
18,Nf_dmd,Demanded fan speed,,
19,PCNfR_dmd,Demanded corrected fan speed,,
20,w31,HPT coolant bleed,,
21,w32,LPT coolant bleed,,
